authority	command	disposition
Frost-OS	fc-match	PORT_OR_REVIEW
Frost-OS	grim	PORT_OR_REVIEW
Frost-OS	hyprctl	PORT_OR_REVIEW
Frost-OS	loginctl	PORT_OR_REVIEW
Frost-OS	makoctl	PORT_OR_REVIEW
Frost-OS	notify-send	PORT_OR_REVIEW
Frost-OS	pactl	PORT_OR_REVIEW
Frost-OS	playerctl	PORT_OR_REVIEW
Frost-OS	qs	PORT_OR_REVIEW
Frost-OS	slurp	PORT_OR_REVIEW
Frost-OS	systemctl	PORT_OR_REVIEW
Frost-OS	wl-copy	PORT_OR_REVIEW
Frost-OS	wl-paste	PORT_OR_REVIEW
staging	bash	REWRITE_OR_DIRECT_INTERFACE
staging	find	REWRITE_OR_DIRECT_INTERFACE
staging	hyprctl	REWRITE_OR_DIRECT_INTERFACE
staging	mkdir	REWRITE_OR_DIRECT_INTERFACE
staging	nmcli	REWRITE_OR_DIRECT_INTERFACE
staging	notify-send	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-agent-usage-update	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-audio-input-set-default	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-audio-output-set-default	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-audio-output-sink	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-audio-sink-availability	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-battery-status	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-bluetooth-device	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-bluetooth-power	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-brightness-display	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-brightness-keyboard	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-clipboard-open	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-clipboard-paste-file	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-clipboard-paste-text	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-display-text-size	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-dns	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-emojis	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-font-current	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-font-list	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-font-set	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-hyprland-focus-app	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-hyprland-monitor-scaling	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-hyprland-session-locked	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-image-selector	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-launch-browser	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-monitor-state	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-network-band	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-network-status	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-powerprofiles-list	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-powerprofiles-set	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-reminder	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-system-reboot	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-system-shutdown	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-system-stats	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-tailscale-send	REWRITE_OR_DIRECT_INTERFACE
staging	omarchy-update-available	REWRITE_OR_DIRECT_INTERFACE
staging	pgrep	REWRITE_OR_DIRECT_INTERFACE
staging	pkexec	REWRITE_OR_DIRECT_INTERFACE
staging	pkill	REWRITE_OR_DIRECT_INTERFACE
staging	readlink	REWRITE_OR_DIRECT_INTERFACE
staging	setpriv	REWRITE_OR_DIRECT_INTERFACE
staging	systemctl	REWRITE_OR_DIRECT_INTERFACE
staging	tailscale	REWRITE_OR_DIRECT_INTERFACE
staging	which	REWRITE_OR_DIRECT_INTERFACE
staging	wl-copy	REWRITE_OR_DIRECT_INTERFACE
staging	wl-paste	REWRITE_OR_DIRECT_INTERFACE
staging	xkbcli	REWRITE_OR_DIRECT_INTERFACE
